"name","state_code","contribution_date","sum"
CONGRESSIONAL LEADERSHIP FUND,AK,2020-05-08,20.0
CONGRESSIONAL LEADERSHIP FUND,AK,2020-05-13,50.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-04-02,25.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-04-29,25.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-01,50.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-10,80.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-12,84.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-14,60.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-19,95.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-24,42.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-05-29,25.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-01,50.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-07,109.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-11,10.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-16,84.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-18,50.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-20,40.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-22,25.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-29,50.0
CONGRESSIONAL LEADERSHIP FUND,AL,2020-06-30,25.0
CONGRESSIONAL LEADERSHIP FUND,AR,2019-07-16,500000.0
CONGRESSIONAL LEADERSHIP FUND,AR,2020-01-30,250000.0
CONGRESSIONAL LEADERSHIP FUND,AR,2020-06-05,1000000.0
CONGRESSIONAL LEADERSHIP FUND,AR,2020-06-30,250000.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-02-16,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-02-19,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-02-20,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-02-21,25.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-02-25,25.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-03-01,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-03-04,20.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-03-09,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-03-20,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-03-31,60.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-01,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-07,2800.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-09,250.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-14,2800.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-20,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-22,25.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-04-26,25.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-05-01,500.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-05-04,25.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-05-20,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-06-01,500.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-06-19,100.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-06-20,50.0
CONGRESSIONAL LEADERSHIP FUND,AZ,2020-06-25,10000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2019-05-24,500200.0
CONGRESSIONAL LEADERSHIP FUND,CA,2019-05-29,50000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2019-10-31,1000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2019-11-12,1000000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2019-11-25,500.0
CONGRESSIONAL LEADERSHIP FUND,CA,2019-12-20,100000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-01-17,250.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-01-29,100000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-06,250.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-13,400000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-14,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-15,10.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-16,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-17,100.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-18,120.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-19,275.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-20,500.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-21,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-24,10.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-26,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-28,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-02-29,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-03,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-04,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-05,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-07,75.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-09,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-13,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-17,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-19,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-24,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-25,10.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-26,75.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-27,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-03-30,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-01,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-07,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-09,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-12,100.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-16,23000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-18,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-19,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-20,15010.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-21,20.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-22,5025.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-23,250.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-24,35.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-25,20000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-26,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-27,125.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-28,10025.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-04-30,20.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-01,20000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-04,550.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-05,5125.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-06,3000.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-10,75.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-14,40.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-17,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-19,765.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-22,570.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-24,10.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-26,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-27,675.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-05-29,120.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-02,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-03,50.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-05,125.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-09,500.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-10,75.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-11,5.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-15,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-19,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-20,290.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-22,525.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-24,1010.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-25,40.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-26,25.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-27,735.0
CONGRESSIONAL LEADERSHIP FUND,CA,2020-06-29,1000.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-02-13,25.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-02-17,50.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-02-19,50.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-02-24,20.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-02-25,35.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-02-26,10.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-02,20.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-03,10.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-04,80.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-06,25.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-07,45.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-09,40.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-10,35.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-12,40.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-13,50.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-18,10.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-24,25.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-27,30.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-28,10.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-03-31,60.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-04-01,25.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-04-03,10.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-04-07,35.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-04-10,250.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-04-18,25.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-04-20,20.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-05-01,100.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-05-08,200.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-05-09,25.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-05-13,1500.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-05-20,20.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-06-20,20.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-06-25,250.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-06-27,80.0
CONGRESSIONAL LEADERSHIP FUND,CO,2020-06-29,40.0
CONGRESSIONAL LEADERSHIP FUND,CT,2020-04-10,250.0
CONGRESSIONAL LEADERSHIP FUND,CT,2020-06-22,125000.0
CONGRESSIONAL LEADERSHIP FUND,DC,2020-04-21,1000.0
CONGRESSIONAL LEADERSHIP FUND,FL,2019-09-26,15000.0
CONGRESSIONAL LEADERSHIP FUND,FL,2019-10-31,250.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-01-28,500.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-01-29,250.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-01-31,500000.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-13,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-15,135.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-16,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-18,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-19,75.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-20,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-21,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-24,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-25,35.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-02-27,20.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-01,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-03,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-04,35.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-05,250.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-06,15.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-07,15.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-09,15.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-12,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-13,260.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-15,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-16,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-17,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-20,250.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-21,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-22,510.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-24,250.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-26,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-28,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-30,40.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-03-31,500035.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-01,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-04,219.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-05,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-14,250.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-15,150.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-16,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-20,310.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-21,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-22,35.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-24,15.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-26,125.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-27,150.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-28,40.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-29,40.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-04-30,60.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-04,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-06,110.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-08,120.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-09,95.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-10,20.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-11,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-12,220.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-13,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-14,2580.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-15,850.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-16,280.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-17,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-20,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-21,140.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-22,20.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-24,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-26,60.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-27,210.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-29,20.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-05-30,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-03,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-09,175.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-10,20.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-11,500200.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-14,65.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-16,75.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-17,25.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-20,150.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-21,100.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-23,50.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-24,10.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-26,500.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-27,175.0
CONGRESSIONAL LEADERSHIP FUND,FL,2020-06-30,250.0
CONGRESSIONAL LEADERSHIP FUND,GA,2019-03-05,500000.0
CONGRESSIONAL LEADERSHIP FUND,GA,2020-02-19,50.0
